date,Z,day_true,sig
2022-08-17,-416.5980853678086,1,True
2022-08-18,-338.25899205820207,1,True
2022-08-21,-364.37859821283797,1,True
2022-08-22,-281.46861065623006,1,True
2022-08-23,-376.797417040996,1,True
2022-08-24,-391.28183587214136,1,True
2022-08-25,-302.62021463795185,1,True
2022-08-28,-406.46255975772766,1,True
2022-08-29,-364.3039680413187,1,True
2022-08-30,-343.0084161902608,1,True
2022-08-31,-380.6405073261954,1,True
2022-09-01,-412.5143595955819,1,True
2022-09-04,-408.9738251285713,1,True
2022-09-05,-383.25579943746976,1,True
2022-09-06,-314.3349413991718,1,True
2022-09-07,-354.909560922081,1,True
2022-09-08,-394.2149371876858,1,True
2022-09-11,-406.16098542007387,1,True
2022-09-12,-162.92979852462508,1,True
2022-09-13,-459.64976903271474,1,True
2022-09-14,-217.15280477344592,1,True
2022-09-15,-309.52578816640505,1,True
2022-09-18,-419.90803520577464,1,True
2022-09-19,-423.352924213427,1,True
2022-09-20,-223.6110009599035,1,True
2022-09-21,-282.4653013059991,1,True
2022-09-22,-279.27090496407595,1,True
2022-09-25,-346.64242087714837,1,True
2022-09-26,-447.4309102215441,1,True
2022-09-27,-336.854768898631,1,True
2022-09-28,-406.91148578306405,1,True
2022-09-29,-442.6752650207787,1,True
2022-10-02,-268.90029528617094,1,True
2022-10-03,-405.2915051648152,1,True
2022-10-04,-440.79925302386715,1,True
2022-10-05,-375.0513237692596,1,True
2022-10-06,-249.0373493735401,1,True
2022-10-09,-352.5027997427171,1,True
2022-10-10,-296.8955620517094,1,True
2022-10-11,-393.9232926486832,1,True
2022-10-12,-161.16270041939794,1,True
2022-10-13,-392.00941825451173,1,True
2022-10-16,-384.995322630126,1,True
2022-10-17,-458.1754056560758,1,True
2022-10-18,-356.4362450743677,1,True
2022-10-19,-457.71529094444395,1,True
2022-10-20,-282.16550341447316,1,True
2022-10-23,-301.0782366059139,1,True
2022-10-24,-279.53983128123656,1,True
2022-10-25,-453.6666703742791,1,True
2022-10-26,-426.1407427363262,1,True
2022-10-27,-364.30810832099905,1,True
2022-10-30,-469.9115256234347,1,True
2022-10-31,-360.1140746396086,1,True
2022-11-01,-204.4281716843563,1,True
2022-11-02,-423.04789139382024,1,True
2022-11-03,-358.1192498935456,1,True
2022-11-06,-401.51021160771717,1,True
2022-11-07,-144.94020208443754,1,True
2022-11-08,-364.4727875483202,1,True
2022-11-09,-145.478399027343,1,True
2022-11-10,-405.8321964091117,1,True
2022-11-13,-475.2181736255341,1,True
2022-11-14,-283.67179594532286,1,True
2022-11-15,-481.06546657627865,1,True
2022-11-16,-407.11322549867594,1,True
2022-11-17,-434.4852334919082,1,True
2022-11-20,-396.7945852906337,1,True
2022-11-21,-461.41477017632366,1,True
2022-11-22,-304.3461157077416,1,True
2022-11-23,-426.7021920789098,1,True
2022-11-24,-437.73803114175837,1,True
2022-11-27,-452.81912079546095,1,True
2022-12-01,-147.07424842538788,1,True
2022-12-04,-229.5482975083618,1,True
2022-12-05,-471.9214789422572,1,True
2022-12-06,-359.94619944298745,1,True
2022-12-07,-431.97417663795915,1,True
2022-12-08,-385.2856639823924,1,True
